name,T,acc,macro_f1,F1_healthy 1,F1_stator short 1,F1_bearing bpfo 3,F1_broken rotor bar
ENSEMBLE_stft_dwt_envelope_v3_temperature,,0.9671052631578947,0.9559570120595939,0.9743297204791785,1.0,0.8494983277591973,1.0
ENSEMBLE_stft_dwt_envelope_temperature,,0.9649122807017544,0.9523577349028349,0.9726962457337884,1.0,0.8367346938775511,1.0
ENSEMBLE_stft_dwt_temperature,,0.9605263157894737,0.9470012933046612,0.9692132269099202,1.0,0.8187919463087249,1.0
ENSEMBLE_stft_dwt_clarke_temperature,,0.9597953216374269,0.9449410772932436,0.9687677455990914,1.0,0.8109965635738832,1.0
"(solo, T=2.400) E4_mod_alexnet_227",2.3995988368988037,0.9539473684210527,0.9393452006718778,0.9639381797366915,1.0,0.7934426229508197,1.0
"(solo, T=0.743) DWT_multibranch_plain_v1",0.7431343197822571,0.9502923976608187,0.9347079037800687,0.9610538373424972,1.0,0.7777777777777778,1.0
"(solo, T=0.518) ENVELOPE_resnet_v3_reg",0.5181831121444702,0.9415204678362573,0.9261526343503353,0.9554513481828839,0.9575070821529745,0.823170731707317,0.9684813753581661
"(solo, T=1.172) ENVELOPE_dilated1d_v1",1.1724697351455688,0.9327485380116959,0.9132314349972236,0.9483352468427095,0.9298245614035088,0.7922077922077922,0.9825581395348837
"(solo, T=2.849) CLARKE_mod_alexnet_v1",2.848973274230957,0.8121345029239766,0.7902518219943381,0.8550636749545178,0.9387755102040817,0.43902439024390244,0.9281437125748503
